transcript	gene	chr	amino_acids	genomic_start	genomic_end	obs_mis	exp_mis	obs_exp	chisq_diff_null	region_name
ENST00000359600.5	ZSWIM5	1	1-201	45672022	45553902	28	93.39309552	0.29980803	45.78772036	ZSWIM5_1
ENST00000372396.3	KDM4A	1	217-263	44131392	44132636	1	19.94010411	0.05015019	31.89474225	KDM4A_2
ENST00000373036.4	MTF1	1	1-354	38323330	38297923	48	119.6910349	0.401032542	42.94059696	MTF1_1
ENST00000312233.2	GLIS1	1	276-322	53995595	53990552	5	24.35939876	0.205259582	22.88399903	GLIS1_2
ENST00000235532.5	OSCP1	1	1-30	36915970	36915881	4	19.03817909	0.210104127	11.8785956	OSCP1_1
ENST00000370920.3	ZRANB2	1	1-186	71546678	71536635	14	56.4363093	0.248067249	31.90925079	ZRANB2_1
ENST00000472487.1	MYSM1	1	528-719	59137621	59131178	17	47.70371243	0.356366394	26.32636496	MYSM1_2
ENST00000414809.3	ARTN	1	48-229	44401822	44402437	14	77.20724807	0.181330126	51.74586983	ARTN_2
ENST00000402904.2	SCMH1	1	27-231	41617354	41578977	29	72.8843991	0.397890363	34.31722884	SCMH1_2
ENST00000371891.3	CYP4A22	1	168-217	47607899	47609449	0	14.2609931	0	28.5219862	CYP4A22_2
ENST00000370630.5	CTBS	1	1-114	85040098	85035797	19	40.01047318	0.474875663	11.03311079	CTBS_1
ENST00000319942.3	RABGGTB	1	36-332	76253284	76260335	49	89.57221927	0.547044613	18.37740529	RABGGTB_2
ENST00000372462.1	CDC20	1	1-106	43824887	43825297	17	52.70703203	0.322537607	24.19017136	CDC20_1
ENST00000370793.1	USP33	1	1-243	78211147	78196305	32	56.42511021	0.567123394	12.55080454	USP33_1
ENST00000372289.2	DMAP1	1	1-98	44679426	44680471	6	33.31080831	0.180121717	22.39153862	DMAP1_1
ENST00000472174.2	ATP6V0B	1	68-93	44441975	44442262	0	8.157943095	0	16.31588619	ATP6V0B_2
ENST00000472174.2	ATP6V0B	1	94-206	44442263	44443679	18	45.16763623	0.398515431	21.2149463	ATP6V0B_3
ENST00000442999.3	A3GALT2	1	216-341	33772744	33772367	12	63.1118216	0.190138705	41.39348606	A3GALT2_2
ENST00000360584.2	SLC6A9	1	84-546	44476554	44466644	104	185.7414179	0.559918198	42.85020295	SLC6A9_2
ENST00000373075.2	MEAF6	1	19-71	37980293	37975137	0	20.40205341	0	40.80410683	MEAF6_2
ENST00000373075.2	MEAF6	1	72-202	37975136	37959700	23	44.22531639	0.520064114	12.37568659	MEAF6_3
ENST00000401041.1	MIER1	1	1-73	67390712	67411858	4	22.68777096	0.176306434	15.39299669	MIER1_1
ENST00000319517.6	LPHN2	1	1-391	82302670	82409428	76	130.3762262	0.582928362	22.67878174	LPHN2_1
ENST00000373347.1	DLGAP3	1	922-980	35331860	35331684	4	32.04437699	0.124826892	24.54368456	DLGAP3_2
ENST00000257177.4	ZCCHC11	1	898-1337	52940539	52902578	34	121.9376024	0.278831134	63.41786099	ZCCHC11_2
ENST00000373045.6	MANEAL	1	1-217	38259855	38261509	37	98.64463716	0.375083746	38.52273575	MANEAL_1
ENST00000447887.1	OSBPL9	1	1-136	52082783	52211228	15	39.79525084	0.376929399	20.31958033	OSBPL9_1
ENST00000306052.6	LRP8	1	1-312	53793584	53741373	41	97.43176181	0.420807335	32.68486253	LRP8_1
ENST00000284031.8	DDAH1	1	1-56	85930728	85930561	4	30.24626175	0.132247748	22.77525274	DDAH1_1
ENST00000347132.5	KCNQ4	1	1-335	41249766	41285896	64	169.2491823	0.378140675	65.45018548	KCNQ4_1
ENST00000347132.5	KCNQ4	1	530-696	41298760	41304195	37	82.2084065	0.450075626	24.86120465	KCNQ4_3
ENST00000370768.2	FUBP1	1	202-247	78430785	78430427	0	16.20135847	0	32.40271695	FUBP1_2
ENST00000370298.4	MTF2	1	174-373	93581063	93594964	14	55.44113681	0.252520075	44.34686677	MTF2_2
ENST00000545844.1	MACF1	1	1-379	39549891	39750091	74	138.9899038	0.532412772	30.38844891	MACF1_1
ENST00000545844.1	MACF1	1	5078-5231	39926352	39934403	11	71.01764372	0.154891087	50.72144567	MACF1_5
ENST00000310638.4	CYP4A11	1	171-219	47401319	47400805	0	14.08616934	0	28.17233869	CYP4A11_2
ENST00000370995.2	SERBP1	1	1-235	67895983	67889996	67	120.826662	0.554513374	28.63830063	SERBP1_1
ENST00000370995.2	SERBP1	1	287-409	67885829	67878890	11	54.08736688	0.203374663	51.13521558	SERBP1_3
ENST00000372343.3	IPO13	1	318-629	44422122	44424420	34	101.4541984	0.335126595	60.56760586	IPO13_2
ENST00000236040.4	LEPRE1	1	1-130	43232642	43232253	32	75.30948217	0.424913292	24.90670752	LEPRE1_1
ENST00000373191.4	AGO3	1	253-861	36470040	36521346	53	218.0511382	0.243062249	124.9334374	AGO3_2
ENST00000361297.2	MAST2	1	493-742	46488635	46495145	46	100.7609837	0.456525912	37.38386417	MAST2_2
ENST00000373204.4	AGO1	1	1-177	36349023	36359293	35	73.00795817	0.479399793	24.55048906	AGO1_1
ENST00000373204.4	AGO1	1	178-594	36359294	36379824	31	169.8219374	0.182544143	172.1965528	AGO1_2
ENST00000373204.4	AGO1	1	595-858	36379825	36385208	34	106.6822805	0.318703348	67.60693155	AGO1_3
ENST00000372172.4	HECTD3	1	1-93	45476929	45476651	5	45.14720639	0.110748824	35.70095051	HECTD3_1
ENST00000342505.4	JAK1	1	664-1155	65311321	65300245	66	168.8540093	0.390870198	62.65144239	JAK1_2
ENST00000372858.3	PABPC4	1	1-148	40041623	40036965	15	65.40706541	0.229333022	38.84706075	PABPC4_1
ENST00000371269.3	DHCR24	1	1-146	55352792	55341670	26	72.26721636	0.359775861	29.62138875	DHCR24_1
ENST00000257181.9	PRPF38A	1	1-113	52870422	52874289	6	40.93692001	0.146566962	29.81632178	PRPF38A_1
ENST00000341460.5	SYDE2	1	1-139	85666679	85666263	17	95.76687458	0.177514408	64.78461951	SYDE2_1
ENST00000294638.5	LHX8	1	229-275	75609604	75622592	0	16.51894609	0	33.03789217	LHX8_2
ENST00000331593.5	BMP8A	1	1-302	39957664	39988112	20	106.267167	0.188204885	70.03126475	BMP8A_1
ENST00000350030.3	NASP	1	503-608	46079768	46080842	6	29.53889663	0.203122008	27.95041179	NASP_2
ENST00000359947.4	PTPRF	1	1747-1908	44086125	44087674	38	81.19697455	0.467997733	22.9808884	PTPRF_3
ENST00000361247.4	ARHGEF2	1	1-673	155948218	155921992	130	290.9958712	0.446741734	89.07229661	ARHGEF2_1
ENST00000307546.9	MAGI3	1	1-111	113933656	114092153	15	41.15070096	0.364513839	16.61840855	MAGI3_1
ENST00000368474.4	ADAR	1	710-1227	154569423	154557282	99	206.6165716	0.479148402	56.05226333	ADAR_2
ENST00000358465.2	TRIM33	1	1-474	115053697	114968344	39	125.3955561	0.311015806	81.69401175	TRIM33_1
ENST00000358465.2	TRIM33	1	881-1128	114948159	114940270	27	79.54189971	0.339443741	46.73965833	TRIM33_3
ENST00000361217.4	DENND4B	1	1141-1497	153905705	153902773	66	115.0911173	0.573458678	24.78107417	DENND4B_3
ENST00000428931.1	UBAP2L	1	1-623	154197600	154227326	121	204.0264962	0.593060226	33.78678358	UBAP2L_1
ENST00000428931.1	UBAP2L	1	846-1088	154232463	154242771	30	87.62810513	0.342355914	37.89878254	UBAP2L_3
ENST00000256637.6	SORT1	1	1-128	109940514	109910086	0	6.682783575	0	13.36556715	SORT1_1
ENST00000256637.6	SORT1	1	641-832	109865657	109856665	34	64.12504966	0.530214014	17.1058297	SORT1_3
ENST00000400794.3	WDR47	1	660-928	109526045	109514052	39	80.84092742	0.482428904	26.82596078	WDR47_3
ENST00000426398.2	PTBP2	1	159-532	97243183	97278961	34	108.9114404	0.312180244	51.52556864	PTBP2_2
ENST00000348159.4	MEF2D	1	1-106	156453084	156450704	9	53.64249693	0.167777425	37.15249375	MEF2D_1
ENST00000545121.1	CEPT1	1	149-417	111702107	111726932	35	80.6367138	0.434045466	25.8283051	CEPT1_2
ENST00000414303.2	AMY2A	1	105-512	104160720	104168368	2	45.26817716	0.044181147	41.35653946	AMY2A_2
ENST00000344770.2	PDZK1	1	142-520	145748551	145763623	6	55.47640308	0.108154092	44.12532764	PDZK1_2
ENST00000327247.5	GBA	1	87-537	155209725	155204786	83	150.7227887	0.550679832	30.42921474	GBA_2
ENST00000368339.5	YY1AP1	1	290-333	155642480	155640254	0	11.37660475	0	22.75320949	YY1AP1_2
ENST00000413052.2	MOV10	1	1-48	113217535	113231563	10	30.99896716	0.322591393	19.37055845	MOV10_1
ENST00000271628.8	SF3B4	1	1-218	149899651	149898320	6	73.56271746	0.081563055	62.05209579	SF3B4_1
ENST00000370025.4	PRPF38B	1	1-308	109235214	109241925	44	120.2560532	0.365885948	48.35503492	PRPF38B_1
ENST00000368376.3	MTX1	1	288-467	155182266	155183489	0	24.86735773	0	24.86735773	MTX1_2
ENST00000369787.3	KCNC4	1	1-491	110754122	110766380	110	264.6119071	0.415703138	90.33925222	KCNC4_1
ENST00000361168.5	CLK2	1	135-389	155238580	155234068	31	89.86721494	0.344953385	51.7449787	CLK2_2
ENST00000361361.2	FAM189B	1	412-500	155220343	155220077	6	35.82996524	0.1674576	38.21562938	FAM189B_2
ENST00000368875.2	PI4KB	1	328-829	151282695	151265328	65	189.0057688	0.343904847	81.35958386	PI4KB_2
ENST00000369795.3	STRIP1	1	678-838	110593653	110596534	25	64.53724311	0.387373225	24.22157373	STRIP1_2
ENST00000369068.4	RPRD2	1	1-394	150337191	150432564	64	111.9422645	0.571723292	20.53255517	RPRD2_1
ENST00000271715.2	POGZ	1	1-852	151414680	151379097	163	285.9115486	0.570106387	52.83888968	POGZ_1
ENST00000358595.5	ARNT	1	87-270	150814913	150804869	26	67.74096848	0.383815003	33.68701743	ARNT_2
ENST00000361824.2	HORMAD1	1	1-100	150691981	150684309	9	27.06143029	0.332576656	12.05462019	HORMAD1_1
ENST00000271277.6	CTTNBP2NL	1	1-146	112958788	112997178	20	44.8921706	0.445511984	13.80241028	CTTNBP2NL_1
ENST00000318967.2	INTS3	1	82-1043	153713770	153745746	139	342.7120184	0.405588344	121.0887982	INTS3_2
ENST00000369558.1	HIPK1	1	1-466	114483006	114498262	84	144.2590337	0.582285891	25.17104855	HIPK1_1
ENST00000368476.3	CHRNB2	1	1-446	154540521	154544637	89	239.6652598	0.371351276	94.71552333	CHRNB2_1
ENST00000313835.9	GPR89A	1	34-456	145818769	145765019	5	60.80510515	0.082229938	51.21625484	GPR89A_2
ENST00000392403.3	ASH1L	1	1943-2965	155408119	155307451	205	365.0866377	0.561510554	70.19630115	ASH1L_2
ENST00000442909.2	NBPF12	1	84-565	146397433	146408061	0	46.47321726	0	46.47321726	NBPF12_2
ENST00000290583.4	CELF3	1	1-182	151688496	151680352	19	74.78701117	0.254054811	59.5062231	CELF3_1
ENST00000290583.4	CELF3	1	370-466	151678718	151677517	7	34.84030208	0.200916742	33.21249874	CELF3_3
ENST00000368408.3	EFNA3	1	1-149	155051418	155058357	23	57.95190325	0.396880839	21.08016256	EFNA3_1
ENST00000234677.2	SARS	1	1-361	109756615	109778712	75	132.333747	0.566748858	29.4916433	SARS_1
ENST00000234677.2	SARS	1	362-474	109778713	109780387	11	45.76724187	0.240346579	38.16967071	SARS_2
ENST00000245564.2	MSTO1	1	1-233	155580040	155581993	1	42.9248591	0.023296524	40.94815562	MSTO1_1
ENST00000245564.2	MSTO1	1	445-571	155583302	155584064	0	25.6869858	0	25.6869858	MSTO1_3
ENST00000368300.4	LMNA	1	1-393	156084710	156106026	79	176.4458118	0.447729528	53.81644453	LMNA_1
ENST00000315987.2	KCND3	1	1-425	112525348	112323408	50	231.7507924	0.215748993	142.538242	KCND3_1
ENST00000369202.1	NBPF20	1	64-166	148344728	148342538	0	21.90246927	0	43.80493855	NBPF20_2
ENST00000369202.1	NBPF20	1	167-4622	148342537	148251875	31	54.82709087	0.565413913	12.30195371	NBPF20_3
ENST00000263177.4	LPPR5	1	128-207	99418865	99418626	2	20.95585091	0.09543874	28.51461899	LPPR5_2
ENST00000309276.6	PPM1J	1	1-128	113257923	113256176	18	49.63877585	0.36261974	20.16593118	PPM1J_1
ENST00000261441.5	RSBN1	1	378-711	114340230	114308878	30	105.0184955	0.285663967	74.86064498	RSBN1_2
ENST00000271640.5	SETDB1	1	1156-1292	150936014	150936840	13	53.95032989	0.240962382	31.08284085	SETDB1_2
ENST00000370008.3	STXBP3	1	35-98	109295688	109301167	2	18.649386	0.107242137	24.36810783	STXBP3_2
ENST00000368223.3	NES	1	1-288	156647056	156645052	59	131.4728154	0.448761973	39.94977175	NES_1
ENST00000437809.1	GON4L	1	276-872	155792139	155740888	108	183.6633641	0.588032352	31.17085813	GON4L_2
ENST00000437809.1	GON4L	1	1960-2241	155722343	155720375	17	75.5166295	0.225115979	45.34360115	GON4L_7
ENST00000368352.5	RUSC1	1	1-637	155291565	155296420	157	271.6172835	0.578019182	48.36629503	RUSC1_1
ENST00000295542.1	DCST1	1	636-707	155023129	155023344	12	40.91541994	0.293287959	20.43487545	DCST1_2
ENST00000368888.4	PIP5K1A	1	1-427	151171473	151212433	75	153.8784334	0.487397736	40.43326357	PIP5K1A_1
ENST00000369146.3	SV2A	1	164-324	149884903	149882239	16	59.37960143	0.269452802	44.79561774	SV2A_2
ENST00000358823.2	CAMSAP2	1	1298-1479	200824013	200827187	16	48.56256102	0.329471915	21.83411167	CAMSAP2_2
ENST00000366994.3	INTS7	1	70-124	212194441	212190365	0	12.7985988	0	12.7985988	INTS7_2
ENST00000367021.3	IRF6	1	1-130	209974758	209968753	15	44.43998163	0.337533893	26.29728275	IRF6_1
ENST00000367049.4	CR1	1	181-1289	207697009	207739183	6	107.6472846	0.055737588	95.98171017	CR1_2
ENST00000367549.3	DHX9	1	1-85	182811702	182821370	7	22.84993546	0.306346598	15.13733691	DHX9_1
ENST00000367549.3	DHX9	1	141-1271	182822497	182856569	126	366.0652235	0.344200956	211.3649836	DHX9_3
ENST00000367157.3	NUAK2	1	1-80	205290756	205280945	18	43.7510526	0.411418673	15.15658871	NUAK2_1
ENST00000009105.1	CAMK1G	1	75-288	209776560	209784846	39	74.32475456	0.524724235	20.34868032	CAMK1G_2
ENST00000271417.3	ILDR2	1	457-640	166890459	166888592	29	82.311568	0.352319859	34.5288439	ILDR2_2
ENST00000367478.4	TPR	1	2077-2223	186292886	186287731	10	45.30843729	0.220709444	40.39871106	TPR_2
ENST00000264515.6	RBBP5	1	1-418	205091001	205065952	43	122.6809829	0.350502572	51.7525935	RBBP5_1
ENST00000367573.2	CACNA1E	1	1-717	181452881	181695209	96	242.8061528	0.395377131	88.76235738	CACNA1E_1
ENST00000367573.2	CACNA1E	1	1170-1859	181706746	181753903	67	252.5731847	0.265269649	136.3462511	CACNA1E_3
ENST00000359842.5	RXRG	1	375-464	165377479	165370500	10	30.53001849	0.327546477	18.7375306	RXRG_3
ENST00000361897.5	NOS1AP	1	1-174	162039968	162313693	23	70.74088077	0.325130246	43.79940829	NOS1AP_1
ENST00000361897.5	NOS1AP	1	292-507	162326861	162337257	43	100.6130591	0.427379908	42.11907091	NOS1AP_3
ENST00000367182.3	MDM4	1	1-137	204494647	204506625	15	43.47356751	0.345037246	18.6491262	MDM4_1
ENST00000341491.4	ATF3	1	70-182	212788571	212792897	13	39.67040911	0.327700175	17.93051138	ATF3_2
ENST00000413687.2	C1orf106	1	429-547	200880906	200881262	4	74.93064543	0.053382698	67.14417622	C1orf106_2
ENST00000367242.3	TMEM183A	1	326-377	202992013	202992168	0	21.74559713	0	21.74559713	TMEM183A_2
ENST00000368131.4	IFI16	1	443-493	159002479	159015236	0	14.86646012	0	29.73292023	IFI16_2
ENST00000358155.4	DNM3	1	1-82	171810797	171956806	9	32.38013037	0.277948232	23.71449359	DNM3_1
ENST00000502732.1	ABL2	1	161-530	179095718	179081505	56	116.6104961	0.480231213	31.50344406	ABL2_2
ENST00000367296.4	NAV1	1	1-351	201617797	201687710	74	167.4893692	0.441819086	52.18398156	NAV1_1
ENST00000367296.4	NAV1	1	1468-1878	201779074	201789060	53	146.9420077	0.360686511	60.05839273	NAV1_3
ENST00000271526.4	PRCC	1	387-492	156761564	156770252	14	40.57650582	0.345027245	17.40688725	PRCC_2
ENST00000507469.1	SMG7	1	1-348	183441756	183502848	53	100.603867	0.526818715	22.52525896	SMG7_1
ENST00000367425.4	CFHR3	1	189-267	196757480	196762451	1	22.71125187	0.044031038	37.17678277	CFHR3_2
ENST00000366971.4	FLVCR1	1	1-270	213031795	213037138	54	119.7745048	0.450847199	36.12025355	FLVCR1_1
ENST00000420696.2	PBX1	1	64-332	164529249	164781385	16	108.5379179	0.14741392	78.89654064	PBX1_2
ENST00000367429.4	CFH	1	1115-1232	196714979	196716443	12	42.97216823	0.279250512	22.32317438	CFH_2
ENST00000367136.4	PM20D1	1	1-124	205819200	205814570	28	52.58650933	0.532455954	11.49527604	PM20D1_1
ENST00000361216.3	ATP1A2	1	1-688	160085652	160105034	150	271.1200741	0.553260398	54.10913373	ATP1A2_1
