transcript	gene	chr	n_coding_exons	cds_start	cds_end	bp	amino_acids	low_depth_exons	obs_mis	exp_mis	obs_exp	overall_chisq	n_regions	mis_z	pLI
ENST00000361079.2	PRAMEF7	1	3	12977512	12980233	1425	475	"1,2"	4	57.03429533	0.070133241	49.3148283	1	3.44005806	0.176862963
ENST00000376189.1	PRAMEF6	1	3	12998504	13002348	1431	477	"1,3"	6	49.87335046	0.120304731	38.59517885	1	3.037154953	0.691325858
ENST00000376187.1	PRAMEF22	1	3	13035542	13038381	1446	482	"1,3"	1	40.99831658	0.024391245	39.02270783	1	3.05181978	0.617146896
ENST00000376132.3	PRAMEF13	1	3	13448049	13450836	1425	475	"1,2"	4	42.14639075	0.094907296	34.52601994	1	2.874305469	0.529422081
ENST00000334600.6	PRAMEF14	1	3	13668904	13671691	1425	475	"1,2"	0	45.97337608	0	45.97337608	1	3.31697476	0.559641613
ENST00000540591.1	PRAMEF19	1	3	13695524	13698358	1440	480	"1,2"	1	52.69489476	0.01897717	50.71387193	1	3.483597396	0.583094142
ENST00000376098.4	PRAMEF17	1	3	13716117	13718962	1425	475	1	3	77.66637921	0.038626752	71.78225946	1	4.150484066	0.790929576
ENST00000375980.4	EFHD2	1	4	15736467	15755220	723	241	.	58	102.5288504	0.565694434	19.33912758	1	2.153556678	0.378995544
ENST00000480945.1	DDI2	1	9	15944165	15983128	1200	400	.	69	146.6028956	0.470659189	41.07837966	1	3.134753488	0.941088127
ENST00000375436.4	RCC2	1	12	17735585	17765010	1569	523	.	102	204.6659254	0.498373141	51.49998574	1	3.513798608	0.787633127
ENST00000455833.2	IFFO2	1	9	19235054	19282826	1554	518	"2,3,5,6,7,9"	34	74.8869892	0.454017452	22.32358256	1	2.318128358	0.382583916
ENST00000375078.3	CAMK2N1	1	2	20810141	20811872	237	79	.	12	31.67637618	0.378831213	12.22235073	1	1.707345381	0.138563182
ENST00000290167.6	WNT4	1	5	22446542	22469415	1056	352	1	95	173.1575976	0.54863316	35.27774781	1	2.905138873	0.153837856
ENST00000374550.3	RPL11	1	6	24018313	24022863	537	179	.	35	61.23486396	0.571569817	11.23980756	1	1.638584384	0.725843321
ENST00000374514.3	LYPLA2	1	9	24119172	24121222	696	232	.	54	90.63002024	0.595829063	14.80478962	1	1.881324317	0.979519145
ENST00000426559.2	STMN1	1	4	26212213	26231167	525	175	4	16	42.23870568	0.378799486	16.29949745	1	1.974248999	0.648591504
ENST00000374271.4	PDIK1L	1	2	26440799	26449068	1026	342	.	40	100.828735	0.396712306	36.69722723	1	2.963185494	0.381253877
ENST00000374268.3	FAM110D	1	1	26487782	26488598	816	272	.	29	72.67409649	0.399041769	26.24630778	1	2.505823644	0.550404227
ENST00000361771.3	WDTC1	1	15	27587545	27632874	2031	677	.	136	278.6029159	0.488149952	72.9913094	1	4.17749768	0.999307826
ENST00000010299.6	FAM76A	1	10	28052591	28087092	1026	342	3	51	85.53582901	0.596241372	13.94413895	1	1.825293774	0.000561029
ENST00000311772.5	PPP1R8	1	7	28157346	28176957	1056	352	.	49	115.5927139	0.42390215	38.36391927	1	3.03024479	0.95405437
ENST00000263697.4	DNAJC8	1	9	28527758	28559509	762	254	.	46	86.06390091	0.534486579	18.65028356	1	2.111746302	0.582006642
ENST00000263974.4	TAF12	1	5	28930050	28948593	486	162	.	31	52.37097495	0.591930932	8.720833835	1	1.442225168	0.892665248
ENST00000234961.2	OPRD1	1	3	29138895	29189795	1119	373	.	105	187.4313123	0.560205222	36.25286066	1	2.949027493	0.109062189
ENST00000420504.2	TMEM200B	1	1	29447416	29448340	924	308	.	76	150.4812497	0.505046311	36.8647693	1	2.969767557	0.155282701
ENST00000373658.3	BAI2	1	31	32193020	32222822	4758	1586	.	352	592.0007494	0.594593842	97.29778175	1	4.822819792	0.995235377
ENST00000344035.6	PTP4A2	1	5	32374452	32384666	504	168	.	20	57.81348636	0.345940044	24.73228724	1	2.431563946	0.760772901
ENST00000327300.7	KHDRBS1	1	9	32479596	32508225	1332	444	.	66	155.1081025	0.425509686	51.19174178	1	3.499023923	0.946876459
ENST00000373625.3	KPNA6	1	14	32573731	32636495	1611	537	.	83	178.3178363	0.465461009	50.95110007	1	3.489755966	0.988827606
ENST00000336890.5	LCK	1	12	32739930	32751317	1530	510	.	103	215.4764409	0.478010494	58.71152182	1	3.745387977	0.999425041
ENST00000373548.3	HDAC1	1	14	32757770	32798645	1449	483	.	74	182.5481506	0.405372499	64.54571549	1	3.908626902	0.93791699
ENST00000373493.5	RBBP4	1	12	33116907	33145306	1278	426	.	22	133.3553737	0.16497273	92.98477377	1	4.713984017	0.989804589
ENST00000373467.3	HPCA	1	3	33354499	33359463	582	194	.	40	86.51601682	0.462342136	25.00970225	1	2.46076709	0.433846186
ENST00000291416.5	TRIM62	1	5	33612777	33647033	1428	476	.	131	225.8579378	0.580010609	39.83932755	1	3.086888604	0.001611418
ENST00000539719.1	ZNF362	1	8	33736175	33764647	1263	421	.	82	170.1544266	0.481915174	45.67147078	1	3.301480204	0.928285965
ENST00000357214.5	SFPQ	1	10	35650056	35658650	2124	708	.	110	241.9659949	0.454609335	71.97302171	1	4.14706914	0.99952726
ENST00000373243.2	NCDN	1	7	36023791	36031264	2190	730	.	141	312.9814583	0.450505921	94.50279313	1	4.756714802	0.996735084
ENST00000373237.3	PSMB2	1	6	36068867	36107033	606	202	.	48	81.72328718	0.587347886	13.91598573	1	1.824624544	0.972351383
ENST00000373210.3	AGO4	1	18	36274017	36319206	2586	862	1	158	293.281833	0.538730948	62.40132285	1	3.839776252	0.990043812
ENST00000270824.1	EVA1B	1	2	36787895	36788638	498	166	.	45	81.30454281	0.553474608	16.21090019	1	1.981802242	0.656674968
ENST00000373042.4	C1orf122	1	3	38274076	38274745	333	111	1	13	31.05666397	0.418589711	10.49833021	1	1.583714372	0.1232465
ENST00000373019.4	SF3A3	1	17	38423857	38455637	1506	502	.	62	152.7140612	0.405987501	53.88528623	1	3.590436904	0.999895352
ENST00000373001.3	RRAGC	1	7	39305224	39325318	1200	400	.	58	105.9070237	0.547650175	21.67073379	1	2.274873054	0.600078052
ENST00000397572.2	MYCBP	1	5	39330341	39338977	312	104	.	17	28.54956045	0.595455753	4.672308239	1	1.050202834	0.739328409
ENST00000425457.2	NFYC	1	10	41204515	41236500	1065	355	8	61	115.8288794	0.526638955	25.95385562	1	2.489909728	0.63195935
ENST00000372638.2	CITED4	1	1	41327244	41327799	555	185	.	17	35.04526011	0.485086997	9.291739064	1	1.490957097	0.358265029
ENST00000372621.4	CTPS1	1	17	41448962	41475917	1776	592	.	86	191.4524613	0.449197672	58.08346114	1	3.727275324	0.932192404
ENST00000372591.1	FOXO6	1	2	41827602	41848553	1680	560	2	6	29.36186549	0.204346689	18.58794563	1	2.116293395	0.437580051
ENST00000304979.3	PPIH	1	9	43124117	43133090	534	178	.	37	64.9188363	0.569942441	12.0067066	1	1.694606152	0.004755027
ENST00000321358.7	YBX1	1	7	43148236	43166686	975	325	1	43	129.2608294	0.332660716	57.56524014	1	3.677956372	0.990640769
ENST00000426263.3	SLC2A1	1	10	43392711	43424322	1479	493	.	100	207.2587466	0.482488685	55.50761503	1	3.642028865	0.93980813
ENST00000372458.3	ELOVL1	1	7	43829586	43831280	840	280	.	52	93.24783018	0.557653727	18.24582397	1	2.088779908	0.22341453
ENST00000372257.2	ERI3	1	9	44687229	44820698	1014	338	.	68	118.874299	0.572032816	21.77253048	1	2.282392622	0.129756091
ENST00000355387.2	RNF220	1	14	44877769	45116447	1701	567	.	130	228.4680847	0.569007265	42.43902915	1	3.186110285	0.999277879
ENST00000396651.3	RPS8	1	6	45241268	45244357	627	209	.	29	88.21129819	0.328756073	39.74522431	1	3.082553596	0.965122842
ENST00000372207.3	BEST4	1	9	45249881	45253377	1422	474	.	75	149.2207771	0.502610973	36.91660007	1	2.970577863	0.003095114
ENST00000372200.1	TCTEX1D4	1	1	45271674	45272340	666	222	.	44	85.10486149	0.517009243	19.85326818	1	2.179377052	0.208823534
ENST00000294339.3	TAL1	1	3	47685391	47691560	996	332	.	90	150.6017649	0.597602558	24.38599514	1	2.41346778	0.824692215
ENST00000371873.5	CMPK1	1	6	47799617	47842417	687	229	.	28	68.71095519	0.407504159	24.12107164	1	2.399256247	0.31927351
ENST00000606738.2	TRABD2B	1	7	48231573	48462461	1554	518	"1,3,4,5,6,7"	7	14.23302809	0.491813826	3.675724868	1	0.929142275	0.370916244
ENST00000357083.4	ELAVL4	1	7	50572005	50666850	1152	384	.	60	131.7245341	0.455496012	39.05429484	1	3.056558059	0.976912762
ENST00000242719.3	RNF11	1	3	51702428	51736994	465	155	.	26	54.93051772	0.473325231	15.23697373	1	1.90759513	0.420327239
ENST00000313334.8	BTF3L4	1	5	52525519	52552430	477	159	.	16	44.66986923	0.358183274	18.40080161	1	2.097041054	0.451300212
ENST00000294353.6	ZYG11B	1	14	53192325	53287301	2235	745	1	104	224.1309219	0.46401451	64.38843101	1	3.924535862	0.999923789
ENST00000371470.3	MAGOH	1	5	53692716	53704120	441	147	.	10	52.03787254	0.192167733	33.95954987	1	2.849823257	0.747938336
ENST00000371320.3	SSBP3	1	18	54692803	54871681	1167	389	.	63	134.2867458	0.469145332	37.84290175	1	3.008294007	0.999756196
ENST00000371222.2	JUN	1	1	59247746	59248742	996	332	.	79	177.2790812	0.445625053	54.48346039	1	3.610346444	0.460851901
ENST00000371189.4	NFIA	1	12	61547615	61920992	1665	555	"1,11"	84	164.0755203	0.51195937	39.08010736	1	3.058431681	0.999555166
ENST00000395334.2	AK4	1	5	65614090	65691860	672	224	.	40	81.48788637	0.490870506	21.1227066	1	2.229737587	0.236133361
ENST00000370986.4	GADD45A	1	4	68151177	68153457	498	166	.	31	83.24793882	0.372381592	32.79176817	1	2.799899352	0.109847669
ENST00000370950.3	SRSF11	1	12	70687319	70716488	1455	485	.	93	186.0642377	0.499827378	46.54818384	1	3.337088449	0.999787767
ENST00000356595.4	PTGER3	1	4	71418589	71513260	1257	419	3	113	196.64232	0.574647411	35.57747739	1	2.917505883	0.787642829
ENST00000370685.3	PRKACB	1	10	84610044	84700988	1197	399	.	56	110.8133887	0.505354097	27.11321814	1	2.547123549	0.612478409
ENST00000370580.1	BCL10	1	3	85733309	85742035	702	234	.	40	74.92702081	0.533852802	16.28113289	1	1.973598155	0.118213219
ENST00000370544.5	LMO4	1	4	87797698	87810479	498	166	.	24	74.92266853	0.320330288	34.61059544	1	2.876520716	0.816026561
ENST00000370500.5	GTF2B	1	7	89318895	89357182	951	317	.	47	103.3309021	0.454849412	30.7088244	1	2.710606957	0.489078694
ENST00000370272.4	DR1	1	3	93812202	93826196	531	177	.	20	49.31216374	0.405579445	17.42375264	1	2.040684207	0.835491729
ENST00000370206.4	CNN3	1	7	95363297	95392450	990	330	.	51	99.46849646	0.512725152	23.61747923	1	2.376285345	0.864370513
ENST00000370185.3	LPPR4	1	7	99730005	99772566	2292	764	.	146	244.5210895	0.597085512	39.69557431	1	3.080213517	0.972616088
ENST00000370152.3	HIAT1	1	12	100503788	100547765	1473	491	.	71	144.8456489	0.490176961	37.64821313	1	3.00049466	0.983243231
ENST00000315033.4	GPR88	1	1	101004522	101005677	1155	385	.	38	155.4434906	0.244461829	88.73304009	1	4.607431834	0.754055177
ENST00000305352.6	S1PR1	1	1	101704540	101705689	1149	383	.	66	166.4215992	0.396583138	60.59608627	1	3.807489896	0.484814895
ENST00000370083.4	AMY1A	1	10	104198952	104207142	1536	512	"1,2,3,4,5,8,9,10"	0	19.72757184	0	19.72757184	1	2.172070854	0.365183317
ENST00000370079.3	AMY1C	1	10	104293091	104301280	1536	512	"1,2,3,4,5,8,9,10"	4	25.6208264	0.156122989	18.24531836	1	2.091876943	0.844157662
ENST00000370078.1	PRMT6	1	1	107599337	107600465	1128	376	.	128	217.3767204	0.588839503	36.74817676	1	2.965065269	0.024127621
ENST00000338366.5	TAF13	1	4	109607144	109618569	375	125	.	17	37.499482	0.453339595	11.20625512	1	1.637369182	0.019850195
ENST00000271308.4	PSMA5	1	9	109944634	109968952	726	242	.	25	67.93313644	0.368008917	27.13335938	1	2.546612074	0.974255885
ENST00000369864.4	AMIGO1	1	1	110050052	110051534	1482	494	.	79	177.4442175	0.445210338	54.6158342	1	3.614728538	0.888492589
ENST00000309851.5	GSTM1	1	8	110230495	110235917	657	219	.	31	72.69805065	0.426421338	23.91711211	1	2.399308596	0.34571372
ENST00000369799.5	AHCYL1	1	17	110527674	110564302	1593	531	.	64	193.0075676	0.331593216	86.22953336	1	4.540807938	0.99979528
ENST00000369784.3	RBM15	1	2	110882027	110888231	2934	978	.	264	460.9910866	0.572679186	84.17839154	1	4.487627409	0.999853093
ENST00000485317.1	KCNA2	1	1	111145904	111147404	1500	500	.	56	160.5536769	0.348793009	68.08608535	1	4.035949464	0.884173956
ENST00000369709.3	RAP1A	1	6	112233982	112251857	555	185	.	23	58.75316448	0.391468276	21.75693483	1	2.280776255	0.934189798
ENST00000285735.2	RHOC	1	4	113244161	113246421	582	194	.	36	79.10369056	0.455098868	23.48724979	1	2.3702077	0.586036085
ENST00000369535.4	NRAS	1	4	115251155	115258781	570	190	.	27	58.2806194	0.46327579	16.78906574	1	2.004147948	0.912772901
ENST00000438362.2	CSDE1	1	19	115260789	115284285	2535	845	1	159	266.6070022	0.596383436	43.4319685	1	3.223002318	0.999951564
ENST00000369506.1	NHLH2	1	1	116380585	116380993	408	136	.	27	70.50205028	0.382967586	26.8421751	1	2.534108874	0.537457457
ENST00000537345.1	ATP1A1	1	23	116916851	116947066	3072	1024	1	91	357.7911293	0.254338335	198.9359177	1	6.898777953	0.99999385
ENST00000369390.3	FAM72B	1	4	120839833	120854586	450	150	.	3	28.22706297	0.106280983	22.54590592	1	2.318153643	0.251829881
ENST00000369384.4	FCGR1B	1	5	120927136	120935894	843	281	.	10	59.99637641	0.166676733	41.66314374	1	3.15821906	0.676508623
ENST00000419275.1	PPIAL4G	1	1	143767353	143767848	495	165	.	28	57.5001991	0.486954836	15.13493449	1	1.902859884	0.606751613
ENST00000400889.1	FAM72D	1	4	143897546	143912295	450	150	"2,4"	1	25.65740263	0.038975106	23.69637774	1	2.380649251	0.5808181
ENST00000538264.1	AL592284.1	1	2	144339777	144520832	807	269	1	0	6.795074349	0	6.795074349	1	1.272022112	0.336126601
ENST00000323397.4	ANKRD34A	1	1	145473328	145474819	1491	497	.	111	273.4945899	0.40585812	96.54484122	1	4.805969547	0.974591387
ENST00000330165.8	RBM8A	1	6	145507666	145509211	525	175	.	24	86.30257854	0.278091343	44.97677078	1	3.271127038	0.962186023
ENST00000314163.7	GPR89B	1	14	147400649	147465149	1368	456	"6,7,8,9,10,11,12,13,14"	9	42.99851151	0.209309571	26.88229765	1	2.540879251	0.791699862
ENST00000539781.1	PPIAL4A	1	1	147954849	147955344	495	165	.	3	15.31540161	0.195881249	9.903045356	1	1.539220408	0.377823123
ENST00000442702.2	NBPF15	1	15	148577649	148594640	2013	671	"1,3,4,5,6,7,8,9,10,12,13,14"	14	44.33882979	0.315750327	20.75933437	1	2.227061656	0.123939064
ENST00000417839.1	NBPF16	1	15	148739734	148756684	2013	671	"1,2,3,4,5,6,7,8,9,10,11,12,13,14"	4	10.55314399	0.379033964	4.069279844	1	0.998060463	0.09076066
ENST00000392948.2	HIST2H3PS2	1	1	149400131	149400542	411	137	.	24	85.05227922	0.282179387	43.82458451	1	3.237989152	0.13598352
ENST00000545683.1	HIST2H2BF	1	2	149754788	149783878	405	135	2	14	76.55231608	0.182881469	51.11265665	1	3.494348173	0.025999981
ENST00000331491.1	HIST2H3D	1	1	149784825	149785236	411	137	.	10	90.27962868	0.11076696	71.38729828	1	4.132634217	0.49893728
ENST00000369155.2	HIST2H2BE	1	1	149857809	149858190	381	127	.	23	73.42493451	0.313245087	34.62957151	1	2.878326181	0.487682589
ENST00000331380.2	HIST2H2AC	1	1	149858524	149858914	390	130	.	26	82.90034492	0.313629576	39.05471389	1	3.056702856	0.209670055
ENST00000331128.3	HIST2H2AB	1	1	149859073	149859466	393	131	.	35	79.78938036	0.438654867	25.14230069	1	2.452556158	0.216215034
ENST00000369109.3	APH1A	1	7	150238529	150241210	798	266	.	47	95.16613873	0.493873143	24.37817643	1	2.413365181	0.132136062
ENST00000324862.6	PRPF3	1	15	150297400	150325455	2052	684	.	98	220.0992016	0.445253773	67.73407139	1	4.025501981	0.999998844
ENST00000339643.5	ENSA	1	5	150595319	150601946	414	138	.	22	42.76162487	0.514479982	10.08018448	1	1.552788314	0.162369766
ENST00000368884.3	PSMD4	1	10	151227258	151239819	1134	378	.	71	127.7466092	0.555787746	25.20753914	1	2.453547036	0.984312092
ENST00000333881.3	LCE3C	1	1	152573207	152573492	285	95	.	18	32.39290818	0.555677184	6.395097493	1	1.236915679	0.496169125
ENST00000392653.2	SPRR2A	1	1	153028992	153029211	219	73	.	6	21.80413715	0.275177135	11.45519996	1	1.655456588	0.160255855
ENST00000341611.2	SPRR2B	1	1	153043096	153043315	219	73	.	8	21.88695955	0.365514451	8.81107516	1	1.4518807	0.157442686
ENST00000361891.4	ILF2	1	14	153634871	153643398	1173	391	.	44	124.9872972	0.352035775	52.47687133	1	3.542549669	0.997052017
ENST00000368680.3	NPR1	1	22	153651584	153665890	3186	1062	.	227	387.128938	0.586367945	66.23446161	1	3.976082793	0.000172509
ENST00000368655.4	GATAD2B	1	10	153782652	153800823	1782	594	.	113	214.7861654	0.526104648	48.23599066	1	3.397051976	0.998594716
ENST00000368567.4	RPS27	1	4	153963272	153964569	255	85	.	14	24.31077279	0.575876387	4.373042211	1	1.018956912	0.697777961
ENST00000368530.2	TPM3	1	10	154140412	154164494	858	286	.	35	92.39170107	0.378821903	35.65046767	1	2.920445791	0.191983984
ENST00000324978.3	AQP10	1	6	154293631	154296956	906	302	.	59	104.6366295	0.563856082	19.9041384	1	2.181145895	0.015278293
ENST00000292211.4	UBE2Q1	1	13	154522913	154531029	1269	423	.	47	131.761196	0.35670593	54.5263747	1	3.618004186	0.969363487
ENST00000271915.4	KCNN3	1	8	154680451	154842440	2196	732	.	145	290.9374475	0.498388919	73.20384077	1	4.184392858	0.864940881
ENST00000334634.4	TRIM46	1	10	155146442	155156666	2280	760	.	182	324.7414594	0.56044584	62.74260227	1	3.873601568	0.998652125
ENST00000368322.3	RIT1	1	6	155870178	155880676	711	237	.	51	94.8507783	0.537686679	20.27279894	1	2.203705012	0.666809792
ENST00000368305.4	LAMTOR2	1	4	156024680	156028162	378	126	.	20	51.85427222	0.385696282	19.56819786	1	2.163269628	0.481086312
ENST00000532414.2	MEX3A	1	2	156046364	156051789	1563	521	.	77	221.3978156	0.347790243	94.17766431	1	4.75248159	0.881462711
ENST00000359511.4	SLC25A44	1	3	156169638	156180222	945	315	.	66	111.5784736	0.591511945	18.61826202	1	2.11050428	0.247810862
ENST00000255039.1	HAPLN2	1	5	156593282	156595176	1023	341	.	81	150.9231646	0.536696936	32.3956164	1	2.780542635	1.05E-05
ENST00000368192.4	ETV3	1	4	157094632	157106144	1539	513	4	26	48.22775964	0.5391086	10.24458325	1	1.57034482	0.783799556
ENST00000368102.1	C1orf204	1	5	159807707	159825027	708	236	"3,4,5"	12	22.31390881	0.537781171	4.767282857	1	1.078762475	0.093368149
ENST00000360472.4	PEA15	1	3	160181334	160183276	393	131	.	16	47.46530737	0.337088305	20.85872025	1	2.233882829	0.698679172
ENST00000368073.3	DCAF8	1	12	160187381	160213798	1794	598	.	108	221.36889	0.487873432	58.05922061	1	3.726301492	0.999730107
ENST00000302101.5	NHLH1	1	1	160340521	160340923	402	134	.	39	74.49426553	0.52353023	16.91194452	1	2.01146821	0.640239275
ENST00000368021.3	USF1	1	10	161009709	161013065	933	311	.	70	121.5955039	0.57567918	21.89304651	1	2.288024967	0.381283032
ENST00000368006.3	DEDD	1	4	161091936	161094252	957	319	.	73	137.3309327	0.53156269	30.13500908	1	2.68504757	0.86950321
ENST00000358671.5	FCGR2B	1	8	161633031	161647343	933	311	"1,2"	41	73.6812528	0.556450908	14.49574001	1	1.857166732	0.047402608
ENST00000367879.4	UCK2	1	7	165797070	165877060	786	262	.	40	101.760417	0.39308015	37.48362304	1	2.994027694	0.962082764
ENST00000367875.1	POGK	1	4	166810193	166819646	1830	610	.	118	237.9073919	0.495991314	60.43436697	1	3.802014381	0.917279175
ENST00000367816.1	ATP1B1	1	6	169076067	169100793	912	304	.	55	102.9232228	0.534378914	22.31406306	1	2.30928499	0.995564605
ENST00000239461.6	PRRX1	1	4	170633359	170705327	738	246	.	60	104.3428143	0.575027619	18.84447137	1	2.1209238	0.752904237
ENST00000209884.4	KLHL20	1	11	173685182	173754385	1830	610	.	108	212.1589351	0.509052329	51.13658663	1	3.495695299	0.061677082
ENST00000367669.3	RFWD2	1	20	175914288	176176114	2196	732	.	124	233.257671	0.531600952	51.17618909	1	3.505161873	0.998566093
ENST00000553856.1	IFRG15	1	1	179833915	179834311	396	132	.	20	33.8680956	0.590526265	5.678620905	1	1.165568354	0.702840889
ENST00000367590.4	XPR1	1	15	180601337	180853202	2091	697	.	127	245.4794647	0.517354884	57.18353494	1	3.698701479	0.998119588
ENST00000287713.6	NMNAT2	1	11	183221775	183387402	924	308	.	64	122.6352244	0.521872898	28.0350899	1	2.588485416	0.943848445
ENST00000294742.6	ARPC5	1	4	183596666	183604794	465	155	.	32	61.80774535	0.517734465	14.37524824	1	1.852252847	0.772685975
ENST00000367510.3	RNF2	1	6	185056685	185069433	1011	337	.	48	100.6288331	0.477000463	27.52485533	1	2.566130752	0.944004162
ENST00000367435.3	CDC73	1	17	193091330	193219842	1596	532	.	66	178.4132609	0.369927659	70.82848638	1	4.115256635	0.999958508
ENST00000304244.2	GPR25	1	1	200842165	200843251	1086	362	.	90	185.0773353	0.486283206	48.84282384	1	3.418351633	0.005635451
ENST00000361379.4	TNNI1	1	7	201379455	201386921	564	188	.	51	87.58205381	0.582311076	15.27991869	1	1.911731822	0.120125045
ENST00000367311.3	PHLDA3	1	1	201437530	201437914	384	128	.	40	84.60045535	0.472810694	23.51288311	1	2.371753033	0.527854532
ENST00000272217.2	ARL8A	1	7	202103594	202113700	561	187	.	20	77.39566857	0.258412394	42.56391645	1	3.189673108	0.630040288
ENST00000367261.3	KLHL12	1	11	202861660	202894290	1707	569	.	112	192.9097181	0.580582467	33.9349544	1	2.848880775	0.008086988
ENST00000340990.5	ADIPOR1	1	7	202910700	202920198	1128	376	.	60	134.5866452	0.445809463	41.33521294	1	3.143752634	0.592753906
ENST00000367236.4	ADORA1	1	2	203097969	203135028	981	327	.	82	141.943013	0.577696628	25.31413652	1	2.460922639	0.021258038
ENST00000414487.2	SNRPE	1	5	203830787	203839060	279	93	.	17	33.42794019	0.508556612	8.073402588	1	1.391271782	0.891456792
ENST00000367142.4	NUCKS1	1	7	205687407	205719101	732	244	.	40	79.8745156	0.50078551	19.90593598	1	2.18227262	0.979237658
ENST00000367103.3	MAPKAPK2	1	10	206858574	206906063	1203	401	.	69	157.6967941	0.437548527	49.88764249	1	3.455012199	0.996185445
ENST00000367080.3	PFKFB2	1	14	207228062	207245716	1518	506	.	114	191.3066204	0.595902012	31.23944977	1	2.732030496	0.001088627
ENST00000419091.2	RCOR3	1	12	211432902	211487110	1662	554	1	90	170.0903028	0.529130694	37.71206528	1	2.969684178	0.672007746
ENST00000366997.4	LPGAT1	1	7	211923240	212002638	1113	371	.	63	105.55443	0.59684847	17.15588358	1	2.025921929	0.967547481
ENST00000261461.2	PPP2R5A	1	13	212459452	212534112	1461	487	.	81	139.1604715	0.582061839	24.30748047	1	2.407565487	0.899520424
ENST00000366937.1	ESRRG	1	7	216680280	216880771	1413	471	1	84	161.0905277	0.52144593	36.89198577	1	2.972537874	0.93661121
ENST00000366929.4	TGFB2	1	8	218520043	218614704	1329	443	.	94	162.4808661	0.578529659	28.86265402	1	2.627575577	0.989115508
ENST00000366862.5	FBXO28	1	5	224301831	224345448	1107	369	.	68	118.7089412	0.57282964	21.66135669	1	2.278244284	0.930139055
ENST00000414423.2	WDR26	1	14	224577536	224621807	1986	662	1	68	174.5006643	0.38968333	64.99913072	1	3.943676028	0.999677391
ENST00000304786.7	SRP9	1	3	225965642	225977061	261	87	.	6	30.19730353	0.198693237	19.38946295	1	2.153843273	0.308171839
ENST00000366813.1	H3F3A	1	3	226252052	226259180	411	137	.	0	61.6434903	0	61.6434903	1	3.840709165	0.692334634
ENST00000366788.3	C1orf95	1	4	226736605	226789741	426	142	.	27	65.03059195	0.415189209	22.24070058	1	2.310740614	0.092054081
ENST00000284523.1	WNT3A	1	4	228194829	228247166	1059	353	.	106	188.4270852	0.562551822	36.05757826	1	2.936611151	0.777794121
ENST00000541182.1	ARF1	1	4	228284815	228285714	546	182	.	8	84.5481265	0.094620666	69.30509182	1	4.071918008	0.819433491
ENST00000366695.2	HIST3H2A	1	1	228645125	228645518	393	131	.	42	96.3983271	0.435692208	30.69739984	1	2.709987297	0.484381729
ENST00000360394.2	EXOC8	1	1	231471313	231473491	2178	726	.	174	294.5015879	0.590828733	49.30578739	1	3.434515363	0.987113069
ENST00000366641.3	EGLN1	1	5	231502156	231557634	1281	427	.	75	209.6946614	0.357662897	86.51937866	1	4.554223454	0.925890294
ENST00000366607.4	TOMM20	1	5	235275378	235292030	438	146	.	22	48.1376117	0.457023089	14.19211966	1	1.841210865	0.577780758
ENST00000318160.4	GREM2	1	1	240656268	240656775	507	169	.	47	88.88855094	0.52875201	19.73989543	1	2.173146139	0.081742843
