transcript	gene	chr	n_coding_exons	cds_start	cds_end	bp	amino_acids	low_depth_exons	obs_mis	exp_mis	obs_exp	overall_chisq	n_regions	mis_z	pLI
ENST00000262450.3	CHD5	1	41	6166339	6240083	5865	1955	.	428	779.1463469	0.549319138	158.2549382	4	6.14206494	0.999999995
ENST00000234875.4	RPL22	1	4	6246731	6259633	387	129	.	10	43.09921808	0.232022771	25.41944579	1	2.467158396	0.348492156
ENST00000377939.4	RNF207	1	17	6266595	6279467	1905	635	.	220	221.7090745	0.992291364	0.013174633	1	0.050128931	5.19E-06
ENST00000343813.5	ICMT	1	5	6285139	6295971	855	285	1	29	73.37600667	0.395224561	26.83751893	1	2.532687639	0.959145428
ENST00000377898.3	HES3	1	3	6304425	6305567	561	187	.	36	68.58047281	0.524930764	15.47798032	1	1.923793207	0.268868568
ENST00000377893.2	GPR153	1	5	6309397	6314965	1830	610	5	158	184.900902	0.854511786	3.913764198	1	0.967026072	0.000377954
ENST00000377855.2	ACOT7	1	9	6324656	6445726	1143	381	.	105	178.653921	0.587728494	30.36541289	1	2.692706876	0.381517902
ENST00000377834.4	HES2	1	4	6478932	6479880	522	174	.	19	48.03957636	0.395507235	17.55421382	3	2.062737689	0.067046655
ENST00000377828.1	ESPN	1	13	6485015	6520206	2565	855	.	283	276.8545953	1.022197229	0.136410954	1	-0.169310972	0.002553841
ENST00000377782.3	TNFRSF25	1	10	6521493	6526167	1281	427	.	126	166.349227	0.757442654	9.78700142	2	1.524800469	0.448738853
ENST00000537245.1	PLEKHG5	1	22	6527622	6557091	3258	1086	1	364	405.5167905	0.897620046	4.250487118	1	0.986904352	4.03E-05
ENST00000377705.5	NOL9	1	12	6585913	6614562	2109	703	.	179	236.3653443	0.75730222	13.92244172	1	1.821517701	0.00447024
ENST00000333172.6	TAS1R1	1	6	6615433	6639644	2526	842	.	299	299.788456	0.997369959	0.002073672	1	0.022071508	7.91E-09
ENST00000377674.4	ZBTB48	1	10	6640669	6649272	2067	689	.	213	267.951628	0.794919597	11.26950204	1	1.641727751	0.680198376
ENST00000377658.4	KLHL21	1	4	6653424	6662877	1794	598	.	156	238.7319609	0.653452514	28.67055307	2	2.617338055	0.001077352
ENST00000377648.4	PHF13	1	4	6674126	6681697	903	301	.	84	133.9477137	0.627110368	18.62498461	2	2.111162212	0.931111283
ENST00000054650.4	THAP3	1	5	6685278	6693137	720	240	.	78	93.99186554	0.829859047	2.720871238	1	0.80387343	0.001484225
ENST00000377577.5	DNAJC11	1	16	6695734	6761860	1680	560	.	152	211.4080335	0.718988761	16.69432514	1	1.996922456	0.99997079
ENST00000303635.7	CAMTA1	1	23	6845590	7826551	5022	1674	1	483	674.0295053	0.716585841	54.14046659	1	3.600902266	0.999999955
ENST00000054666.6	VAMP3	1	5	7831443	7839705	303	101	.	36	37.94643815	0.948705643	0.099841294	1	0.157964784	0.054263067
ENST00000361923.2	PER3	1	21	7844937	7902815	3606	1202	.	478	431.4253048	1.107955409	5.027990269	1	-1.097078064	2.19E-10
ENST00000054668.5	UTS2	1	5	7907825	7913491	420	140	.	46	48.14933152	0.955361135	0.09594372	1	0.152224213	0.151041459
ENST00000377507.3	TNFRSF9	1	7	7980894	8000054	768	256	.	97	88.34409612	1.097979427	0.848100499	1	-0.46061782	0.253050501
ENST00000493678.1	PARK7	1	6	8022845	8045114	570	190	.	70	66.89834994	1.046363626	0.143803743	1	-0.186053424	0.903949397
ENST00000377482.5	ERRFI1	1	3	8073269	8075679	1389	463	.	145	146.7663757	0.987964711	0.021258842	1	0.071316852	0.046551582
ENST00000471889.1	SLC45A1	1	8	8384389	8404073	2247	749	.	275	359.1146346	0.76577219	19.70198668	1	2.171059501	0.045189256
ENST00000337907.3	RERE	1	22	8415146	8716356	4701	1567	.	452	636.0259748	0.7106628	53.2455603	2	3.572708222	0.999995655
ENST00000234590.4	ENO1	1	11	8921418	8934967	1305	435	.	136	156.7013162	0.867893157	2.734785522	1	0.807999598	0.010373413
ENST00000377436.3	CA6	1	8	9005945	9034503	942	314	.	109	107.1350388	1.017407575	0.032464451	1	-0.085224349	0.008023621
ENST00000400906.1	SLC2A7	1	12	9063358	9086404	1539	513	.	215	193.6697198	1.110137404	2.349261687	1	-0.750867109	2.99E-17
ENST00000377424.4	SLC2A5	1	12	9097644	9129595	1506	502	.	154	189.6620454	0.811970575	6.705513916	1	1.264425144	5.68E-05
ENST00000377411.4	GPR157	1	4	9164477	9189086	1008	336	.	135	148.6956221	0.907894921	1.261436361	2	0.548821196	2.63E-05
ENST00000377403.2	H6PD	1	4	9304993	9324928	2376	792	.	373	345.3094596	1.080190506	2.220518451	1	-0.729460394	0.000111404
ENST00000328089.6	SPSB1	1	2	9415950	9427634	822	274	.	60	130.4597931	0.459911813	38.05450187	1	3.017307176	0.709596082
ENST00000302692.6	SLC25A33	1	7	9599750	9642559	966	322	1	79	103.5888694	0.762630198	5.836655076	1	1.185932044	0.451158319
ENST00000340381.6	TMEM201	1	11	9648988	9673141	2001	667	"1,7,8,9,10,11"	147	164.2727663	0.894853136	1.816177215	1	0.656998616	0.841903867
ENST00000377320.3	C1orf200	1	2	9713836	9714494	504	168	.	49	66.13850818	0.740869447	4.441111099	1	1.030771308	0.054923005
ENST00000377346.4	PIK3CD	1	22	9770513	9787104	3135	1045	.	205	447.7792879	0.457814833	131.6313287	1	5.610522559	0.999984295
ENST00000377298.4	CLSTN1	1	19	9790565	9883791	2946	982	1	354	400.1779703	0.884606416	5.3286415	1	1.125769296	0.84421445
ENST00000377263.1	CTNNBIP1	1	3	9910775	9932122	246	82	.	30	35.42443202	0.846873141	0.83062624	1	0.439075684	0.02298674
ENST00000377223.1	LZIC	1	6	9990456	9996677	573	191	.	43	47.10376273	0.91287824	0.357527033	1	0.291213805	0.001979247
ENST00000377205.1	NMNAT1	1	4	10032131	10042759	840	280	.	101	83.58127394	1.208404649	3.630143493	1	-0.931919084	0.225291939
ENST00000294435.7	RBP7	1	4	10057316	10075890	405	135	.	36	40.46029576	0.889761168	0.491697796	1	0.340282444	0.408810206
ENST00000343090.6	UBE4B	1	28	10093728	10240014	3909	1303	.	320	491.394341	0.651208151	59.78094915	2	3.779914969	0.999987414
ENST00000263934.6	KIF1B	1	46	10292386	10436645	5313	1771	.	419	625.8216177	0.669519857	68.35043781	2	4.041123412	1
ENST00000270776.8	PGD	1	13	10459174	10479806	1452	484	.	147	176.6871903	0.83197882	4.988076758	1	1.09211721	0.968660462
ENST00000400900.2	APITD1-CORT	1	5	10490574	10511652	495	165	.	68	51.16091115	1.329139737	5.542413275	1	-1.152509702	0.008520901
ENST00000602787.1	APITD1	1	5	10490574	10511652	495	165	.	68	51.16091115	1.329139737	5.542413275	1	-1.152509702	0.008520901
ENST00000377049.3	CORT	1	2	10510280	10511652	318	106	.	54	42.44437063	1.272253521	3.146060788	1	-0.868611167	0.009837791
ENST00000377038.3	DFFA	1	6	10521546	10532515	996	332	.	114	126.5091509	0.901120584	1.236897529	1	0.543982567	0.000218371
ENST00000356607.4	PEX14	1	9	10535023	10690044	1134	378	.	113	149.0289873	0.758241749	8.710304965	1	1.44503397	0.634568378
ENST00000377004.4	C1orf127	1	12	11007719	11042094	2472	824	"1,2,3,4,8"	261	234.1243022	1.114792431	3.085126675	1	-0.903902932	1.33E-05
ENST00000240185.3	TARDBP	1	5	11073784	11082711	1245	415	.	34	137.952638	0.246461398	78.33232556	3	4.328992866	0.980707837
ENST00000400897.3	MASP2	1	11	11086941	11107264	2061	687	.	270	219.3413061	1.230958294	11.70004555	1	-1.675737973	1.58E-14
ENST00000376957.2	SRM	1	8	11114921	11120000	909	303	.	49	124.0261361	0.395078018	45.38495899	1	3.2955629	0.869848472
ENST00000376936.4	EXOSC10	1	25	11126774	11159888	2658	886	.	296	315.1728216	0.939167275	1.166334981	1	0.527856247	1.66E-07
ENST00000361445.4	MTOR	1	57	11167541	11319466	7650	2550	.	438	930.1458228	0.470893906	260.3973538	2	7.891558899	1
ENST00000376819.3	ANGPTL7	1	5	11249636	11255080	1041	347	.	140	128.9818561	1.085423983	0.941213736	1	-0.473837605	8.44E-09
ENST00000376810.5	UBIAD1	1	2	11333588	11346188	1017	339	.	85	122.4324876	0.694260173	11.4446023	1	1.654691201	0.568905634
ENST00000294484.6	PTCHD2	1	20	11561049	11596743	4179	1393	.	503	628.0105313	0.800941983	24.88434851	1	2.43816477	4.17E-05
ENST00000354287.4	FBXO2	1	6	11708750	11714397	891	297	1	98	117.3421488	0.835164525	3.188272286	1	0.869061374	0.273382986
ENST00000376770.1	FBXO44	1	5	11715892	11721330	768	256	.	103	122.8348848	0.838524009	3.202857692	1	0.875357732	3.60E-05
ENST00000376753.4	FBXO6	1	5	11728715	11733908	882	294	.	127	118.1112819	1.075257147	0.668939558	1	-0.400311329	0.000485731
ENST00000235310.3	MAD2L2	1	8	11734831	11740658	636	212	.	53	96.11869791	0.55140156	19.3429806	1	2.150030559	0.202505866
ENST00000294485.5	DRAXIN	1	6	11766315	11779753	1050	350	.	116	125.6061211	0.923521871	0.734658171	1	0.414696357	6.64E-10
ENST00000314340.5	AGTRAP	1	5	11796265	11810249	480	160	.	64	69.4319206	0.921766234	0.424959603	1	0.319012985	0.041663403
ENST00000433342.1	C1orf167	1	21	11821843	11849503	4422	1474	"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"	29	35.04607214	0.827482175	1.043055214	1	0.493768728	0.155526802
ENST00000376592.1	MTHFR	1	11	11850736	11863173	1971	657	.	236	264.1095285	0.89356867	2.991734518	1	0.846016895	2.46E-07
ENST00000346436.6	CLCN6	1	23	11866319	11900280	2610	870	.	296	357.8490904	0.827164321	10.68972952	1	1.597592085	0.163974191
ENST00000376480.3	NPPA	1	3	11906065	11907741	456	152	.	77	58.9076416	1.307130924	5.556722753	1	-1.152990879	0.016931635
ENST00000376468.3	NPPB	1	3	11917711	11918890	405	135	.	58	59.9047033	0.968204445	0.060561099	1	0.119238873	0.00038006
ENST00000196061.4	PLOD1	1	19	11994836	12034865	2184	728	.	292	306.8127863	0.95172044	0.715154806	1	0.409273493	2.70E-07
ENST00000235329.5	MFN2	1	17	12049225	12071622	2274	758	.	215	285.1144567	0.754083123	17.24232822	2	2.029520454	0.999816094
ENST00000235332.4	MIIP	1	9	12081783	12091865	1167	389	.	173	158.0203394	1.094795775	1.42000854	1	-0.584798718	1.96E-15
ENST00000263932.2	TNFRSF8	1	15	12123655	12202588	1788	596	.	221	230.7036188	0.957939026	0.408143656	1	0.308692813	0.845965387
ENST00000376259.3	TNFRSF1B	1	10	12227148	12267077	1386	462	1	139	169.3607203	0.820733401	5.44266305	1	1.135984729	0.778880984
ENST00000358136.3	VPS13D	1	69	12294323	12569078	13167	4389	.	1301	1445.101533	0.900282762	14.36940684	2	1.852626086	0.999992132
ENST00000376223.2	DHRS3	1	6	12628368	12677353	909	303	.	89	137.4724298	0.647402538	17.09125573	2	2.021061451	0.661359704
ENST00000376221.1	AADACL4	1	4	12704565	12726746	1224	408	.	198	148.6989755	1.331549188	16.34571465	1	-1.97750787	0.000547686
ENST00000359318.5	AADACL3	1	3	12779479	12785963	1053	351	.	127	119.1125768	1.066218224	0.522291155	1	-0.353485401	0.000156334
ENST00000288048.5	C1orf158	1	4	12806378	12820884	585	195	.	76	64.72921731	1.17412203	1.962491555	1	-0.68520464	1.57E-08
ENST00000357726.4	PRAMEF12	1	3	12835010	12837742	1452	484	.	194	153.593078	1.263077754	10.63016231	1	-1.594726294	3.90E-06
ENST00000332296.7	PRAMEF1	1	3	12853376	12856145	1425	475	.	99	154.7671087	0.639670799	20.09451772	2	2.192578589	0.098105164
ENST00000535591.1	PRAMEF11	1	3	12884799	12888523	1311	437	.	81	130.5340762	0.620527623	18.79681365	2	2.119056143	0.285437975
ENST00000317869.6	HNRNPCL1	1	1	12907260	12908142	882	294	.	123	99.95057517	1.230608226	5.31538697	1	-1.127674555	0.010723266
ENST00000240189.2	PRAMEF2	1	3	12918864	12921634	1425	475	.	177	145.8118006	1.213893521	6.670953784	1	-1.263311447	0.00056761
ENST00000235349.5	PRAMEF4	1	3	12939364	12943215	1437	479	.	78	143.0147917	0.54539813	29.55584584	2	2.659140418	0.074609525
ENST00000361079.2	PRAMEF7	1	3	12977512	12980233	1425	475	"1,2"	4	57.03429533	0.070133241	49.3148283	1	3.44005806	0.176862963
ENST00000376189.1	PRAMEF6	1	3	12998504	13002348	1431	477	"1,3"	6	49.87335046	0.120304731	38.59517885	1	3.037154953	0.691325858
ENST00000376187.1	PRAMEF22	1	3	13035542	13038381	1446	482	"1,3"	1	40.99831658	0.024391245	39.02270783	1	3.05181978	0.617146896
ENST00000376132.3	PRAMEF13	1	3	13448049	13450836	1425	475	"1,2"	4	42.14639075	0.094907296	34.52601994	1	2.874305469	0.529422081
ENST00000334600.6	PRAMEF14	1	3	13668904	13671691	1425	475	"1,2"	0	45.97337608	0	45.97337608	1	3.31697476	0.559641613
ENST00000540591.1	PRAMEF19	1	3	13695524	13698358	1440	480	"1,2"	1	52.69489476	0.01897717	50.71387193	1	3.483597396	0.583094142
ENST00000376098.4	PRAMEF17	1	3	13716117	13718962	1425	475	1	3	77.66637921	0.038626752	71.78225946	1	4.150484066	0.790929576
ENST00000294489.6	PDPN	1	6	13910300	13942406	717	239	.	112	100.4406642	1.115086215	1.330320204	1	-0.565402491	0.000983708
ENST00000235372.7	PRDM2	1	8	14042100	14143042	5157	1719	.	538	554.7173816	0.969863245	0.503807628	1	0.334429566	0.995040619
ENST00000376030.2	KAZN	1	15	14925493	15441131	2328	776	.	208	309.2592255	0.672574924	33.15480964	2	2.809793578	0.144589791
ENST00000428417.1	TMEM51	1	2	15541583	15546239	762	254	.	99	100.8941279	0.981226579	0.035559261	1	0.092233028	0.870759443
ENST00000375980.4	EFHD2	1	4	15736467	15755220	723	241	.	58	102.5288504	0.565694434	19.33912758	1	2.153556678	0.378995544
ENST00000375949.4	CTRC	1	8	15764960	15773084	807	269	.	112	114.7034366	0.976431076	0.063717092	1	0.122321557	5.22E-06
ENST00000359621.4	CELA2A	1	8	15783248	15798502	810	270	.	98	116.3153812	0.842536894	2.883996799	1	0.83064267	1.98E-06
ENST00000375910.3	CELA2B	1	8	15802620	15817807	810	270	.	95	111.3045879	0.853513784	2.388397396	1	0.755909983	0.000617209
ENST00000333868.5	CASP9	1	9	15819437	15850695	1251	417	.	153	144.9790751	1.055324708	0.443755327	1	-0.326119058	0.003193956
ENST00000375847.3	DNAJC16	1	14	15855600	15894672	2349	783	.	259	258.2332232	1.002969319	0.002276805	1	-0.023339553	3.79E-05
ENST00000375826.3	AGMAT	1	7	15900145	15911462	1059	353	.	121	141.5556212	0.854787673	2.984929601	1	0.843808301	0.003672625
ENST00000480945.1	DDI2	1	9	15944165	15983128	1200	400	.	69	146.6028956	0.470659189	41.07837966	1	3.134753488	0.941088127
ENST00000345034.1	RSC1A1	1	1	15986363	15988217	1854	618	.	218	173.252785	1.258277032	11.55717787	1	-1.662808398	1.46E-08
ENST00000375799.3	PLEKHM2	1	20	16011053	16060429	3060	1020	.	309	304.6821793	1.014171556	0.061190239	1	-0.127976177	0.005065575
ENST00000294454.5	SLC25A34	1	5	16062980	16065901	915	305	.	134	114.7604456	1.167649701	3.225505535	1	-0.879309953	0.000948153
ENST00000375782.1	TMEM82	1	6	16069054	16074127	1032	344	.	150	132.5342851	1.131782617	2.301677605	1	-0.744473108	1.23E-05
ENST00000441801.2	FBLIM1	1	5	16091478	16101526	1125	375	.	139	149.1985174	0.931644646	0.697123266	1	0.410156754	0.00078906
ENST00000375759.3	SPEN	1	15	16174562	16265922	10995	3665	.	1082	1302.519956	0.830697446	37.33459183	3	2.988320592	1
ENST00000375743.4	ZBTB17	1	14	16268463	16274990	2412	804	.	162	340.9066726	0.475203371	93.88961866	2	4.738160709	0.998165365
ENST00000329454.2	C1orf64	1	2	16330798	16332841	510	170	.	70	59.66112956	1.17329324	1.791656354	1	-0.678961671	0.010559209
ENST00000311890.9	HSPB7	1	3	16342074	16344458	513	171	.	69	85.78235787	0.804361196	3.283280418	1	0.883530071	0.013149237
ENST00000331433.4	CLCNKA	1	19	16349114	16360153	2064	688	.	228	270.1109072	0.844097717	6.565186587	3	1.251085517	2.75E-14
ENST00000375679.4	CLCNKB	1	19	16370987	16383411	2064	688	.	245	267.6025352	0.915536917	1.909079809	3	0.673901766	7.81E-12
ENST00000375662.4	FAM131C	1	7	16384931	16399937	843	281	1	66	87.55633821	0.753800368	5.307162524	1	1.123583614	0.276924373
ENST00000358432.5	EPHA2	1	17	16451709	16482427	2931	977	.	353	445.7813913	0.791867958	19.31078043	3	2.142573489	0.738294173
ENST00000270747.3	ARHGEF19	1	15	16525081	16535549	2409	803	.	247	274.657424	0.899302107	2.785044334	1	0.813530847	7.64E-09
ENST00000375599.3	RSG1	1	5	16558542	16563237	777	259	.	114	114.2671856	0.997661747	0.000624748	1	0.008536658	1.08E-06
ENST00000375592.3	FBXO42	1	9	16577164	16641913	2154	718	.	183	243.138696	0.752656829	14.87489575	2	1.885842803	0.975946027
ENST00000401088.4	SZRD1	1	4	16693752	16721635	459	153	"1,2"	34	49.48878632	0.687024325	4.847613357	1	1.079960488	0.719865991
ENST00000335496.1	SPATA21	1	11	16725259	16757866	1410	470	.	181	164.6690748	1.099174209	1.619606581	1	-0.624461591	3.58E-06
ENST00000443980.2	NECAP2	1	7	16767256	16785491	822	274	.	88	104.3914443	0.84298096	2.573768845	1	0.78133107	6.87E-05
ENST00000375541.5	CROCC	1	37	17248513	17298941	6054	2018	.	772	718.7061064	1.074152554	3.951878342	3	-0.971422716	4.71E-20
ENST00000375535.3	MFAP2	1	8	17301414	17304768	552	184	.	54	63.10104468	0.855770301	1.312640935	1	0.554152266	0.000124328
ENST00000326735.8	ATP13A2	1	29	17312715	17338233	3543	1181	.	403	481.0361528	0.837774869	12.65942508	1	1.734023877	0.001204951
ENST00000375499.3	SDHB	1	8	17345375	17380514	843	281	.	93	93.33624157	0.996397524	0.001211302	1	0.015044753	0.050102772
ENST00000375486.4	PADI2	1	16	17395538	17445866	1998	666	.	267	275.5592508	0.968938619	0.26586215	1	0.252517395	0.000124031
ENST00000375471.4	PADI1	1	16	17531712	17570738	1992	664	.	303	235.7610405	1.285199621	19.17652578	1	-2.136454723	5.27E-11
ENST00000375460.3	PADI3	1	16	17575632	17609574	1995	665	.	284	262.1138736	1.083498542	1.82745965	1	-0.665268443	4.69E-10
ENST00000375448.4	PADI4	1	16	17634717	17690250	1992	664	.	264	247.1496014	1.068178943	1.148842369	1	-0.529705579	1.30E-09
